,data,labels,generalisation,group
2281,How many web servers are there ?,5,ID,train
2282,What 's the last line of Dickens 's A Christmas Carol ?,2,ID,test
2283,How many trees go into paper making in a year ?,5,ID,validation
2284,How come light bulbs go out ?,2,ID,train
2285,For what reason did the Shea & Gould law firm close their L.A. office ?,2,ID,validation
2286,How far out is the universe ?,5,ID,train
2287,What is the difference between a bottle and a jar ?,2,ID,train
2288,What disease is the second-biggest killer of North Americans ?,1,ID,train
2289,What happens to the female body with lack of sleep and food ?,2,ID,train
2290,What is a fear of crystals or glass ?,1,ID,validation
2291,Name a product that controls the ripening of apples .,1,ID,train
2292,How many warmup pitches does a reliever get coming into a baseball game ?,5,ID,test
2293,What common livestock have the greatest variety of breeds ?,1,ID,train
2294,What film had Bette Davis creating a scandal by wearing a daring red gown to a society ball ?,1,ID,train
2295,What disease did August von Wassermann develop a specific test for in 196 ?,1,ID,train
2296,What card company sells Christmas ornaments ?,3,ID,test
2297,How do I find out what cities are in a certain area code ?,2,ID,train
2298,What can communications satellites offer yachts ?,1,ID,train
2299,How many Fig Newtons are there to the pound ?,5,ID,validation
2300,Who is the premier of China ?,3,ID,train
2301,What cigar-chewing comedian observed : `` You 're only as old as the woman you feel '' ?,3,ID,train
2302,How many bones are there in the human hand ?,5,ID,train
2303,What bread company used to feature stickers of the Cisco Kid on the ends of their packages ?,3,ID,train
2304,Who was the president of Vichy France ?,3,ID,train
2305,Whose kidnaping was termed The Crime of the Century ?,3,ID,test
2306,What is hydrogen ?,2,ID,train
2307,What group asked the musical question Do You Believe in Magic ?,3,ID,train
2308,What buxom blonde appeared on the cover of more than 5 magazines ?,3,ID,validation
2309,What is recruitment interview technique ?,2,ID,train
2310,How does a hurricane form ?,2,ID,train
2311,What does the donation process entail ?,2,ID,train
2312,How far is it from Phoenix to Blythe ?,5,ID,train
2313,How many people watch network television ?,5,ID,validation
2314,"What garment was named for Bradley , Voorhees and Day ?",1,ID,test
2315,Who first broke the sound barrier ?,3,ID,train
2316,How do birds have sex ?,2,ID,validation
2317,How many horses are there on a polo team ?,5,ID,train
2318,What 's destroyed in Genesis 19 : 24 ?,1,ID,test
2319,What new year is celebrated on February 16th ?,1,ID,train
2320,What is Occam 's Razor ?,2,ID,train
2321,How long does it take to hike the entire Appalachian Trail ?,5,ID,train
2322,What role do fruits play in the survival of plants ?,3,ID,train
2323,What are the medical purposes of `` clitoridectomy '' ?,2,ID,train
2324,How is thalassemia defined ?,2,ID,test
2325,What 's the name of the Tampa newspaper ?,1,ID,train
2326,What is a storm surge ?,2,ID,train
2327,How do you use `` farther '' as opposed to `` further '' ?,2,ID,train
2328,What was the alternate to VHS ?,1,ID,train
2329,What is one of the languages of the Sioux ?,1,ID,train
2330,What Pulitzer Prize-winning novelist ran for mayor of New York City ?,3,ID,test
2331,How many times can a nickel-cadmium rechargeable battery be recharged ?,5,ID,train
2332,How is cologne made ?,2,ID,train
2333,What was the food of the Greek gods called ?,1,ID,test
2334,What does camera-ready art mean ?,2,ID,test
2335,How many seats does the Batmobile sport ?,5,ID,train
2336,How many cards are dealt to each player in Gin Rummy ?,5,ID,train
2337,What happened to Phillip Taylor Kramer ?,2,ID,train
2338,What Erica Jong novel deals with Isadora Wing 's fear ?,1,ID,validation
2339,What time of year do most people fly ?,5,ID,train
2340,Who was Scrooge 's dead partner in Dickens 's A Christmas Carol ?,3,ID,train
2341,What is the origin of the Christmas tree ?,2,ID,test
2342,When is the Thai New Year ?,5,ID,train
2343,What four tournaments make up tennis ' Grand Slam ?,1,ID,test
2344,What 1964 film introduced the song My Kind of Town ?,1,ID,test
2345,Who recorded the 1957 hit Tammy ?,3,ID,train
2346,What is the term for the side of the mountain that faces the prevailing winds ?,1,ID,train
2347,"In Kafka 's Metamorphosis , the hero awakes one morning to find himself turned into what ?",1,ID,train
2348,What does caliente translate to in English ?,1,ID,train
2349,Who is Mia Farrow 's mother ?,3,ID,train
2350,How do you determine if a computer monitor has an SVGA adapter ?,2,ID,train
2351,How far can a human eye see ?,5,ID,validation
2352,What time of year has the most air travel ?,5,ID,test
2353,What does the term `` spaghetti western '' mean ?,2,ID,train
2354,When was the G7 group of nations formed ?,5,ID,validation
2355,What are differences between 1980 and 1990 ?,2,ID,test
2356,What baseball player was walked the most times ?,3,ID,train
2357,What famous male vocalist has the same name as the composer of the opera Hansel and Gretel ?,3,ID,train
2358,What were the first frozen foods ?,1,ID,test
2359,Why is Indiglo called Indiglo ?,2,ID,train
2360,What is the word for love of pain or abuse ?,1,ID,train
2361,When did they canonize the Bible ?,5,ID,train
2362,Who was the only president to serve two nonconsecutive terms ?,3,ID,train
2363,What percentage of all world tornados touch down in the US ?,5,ID,train
2364,What labor leader was last seen in the parking lot of a Michigan restaurant ?,3,ID,train
2365,When did the Carolingian period begin ?,5,ID,validation
2366,What motto ended Merrie Melodies cartoons ?,2,ID,validation
2367,Who reports the weather on the `` Good Morning America '' television show ?,3,ID,test
2368,How many emperors were there in the Roman Empire ?,5,ID,train
2369,What was the name of `` The Muppets '' creator ?,3,ID,train
2370,What is Cabarnet Sauvignon ?,2,ID,test
2371,What is a virtual IP address ?,2,ID,test
2372,What 's the name of the tiger that advertises for Frosted Flakes cereal ?,1,ID,train
2373,"Who sent the brief message `` I came , I saw , I conquered '' ?",3,ID,train
2374,What color is Mr. Spock 's blood ?,1,ID,train
2375,What U.S. Air Force general led the first bombing raid over Tokyo ?,3,ID,test
2376,What U.S. vice-president said : `` Some newspapers dispose of their garbage by printing it '' ?,3,ID,train
2377,"What was the name of the first Watergate special prosecutor , later fired by Nixon ?",3,ID,train
2378,How do movie blues screens work ?,2,ID,test
2379,How does the speed the magnet spins in a generator affect the output of the generator ?,2,ID,train
2380,What 's the supreme policy-making bureau of the Soviet Communist Party ?,3,ID,train
2381,What was the Vietnam War ?,2,ID,train
2382,What is La Nina ?,2,ID,train
2383,Why did the Globe Theatre burn down ?,2,ID,train
2384,On what day were John F and Jackie Kennedy married ?,5,ID,train
2385,"What was the non-fiction best-seller of 1952 , 1953 and 1954 ?",1,ID,train
2386,What is meant by blood SED rate ?,2,ID,train
2387,Who are the nomadic hunting and gathering tribe of the Kalahari Desert in Africa ?,3,ID,test
2388,Who won a Pulitzer Prize for his novel The Caine Mutiny ?,3,ID,test
2389,What 's the best way to lose the flab under your chin and around your face ?,1,ID,train
2390,"What Broadway musical featured the song , `` If I were a rich man ? ''",1,ID,train
2391,Who portrayed Sherlock Holmes in 14 films between 1939 and 1946 ?,3,ID,train
2392,Why is the development of space so important ?,2,ID,train
2393,What is the nursery rhyme Rock-a-by Baby about ?,2,ID,validation
2394,How old is singer Freedy Johnston ?,5,ID,test
2395,What is the origin of gametophytic tissue ?,2,ID,test
2396,What does Aaron mean ?,2,ID,train
2397,What is a fear of hair ?,1,ID,train
2398,What is the name of the pop singer whose song became the theme song for a brand of catsup ?,3,ID,train
2399,What is a conifer ?,2,ID,train
2400,Who claimed to be the world 's most perfectly-developed man ?,3,ID,train
2401,What is different about the red and black fox ?,2,ID,train
2402,What is e-commerce ?,2,ID,train
2403,How do I tie a tie ?,2,ID,train
2404,When did Spain and Korea start ambassadorial relations ?,5,ID,train
2405,What kind of people took part in Shays ' Rebellion in Massachusetts in 1787 ?,3,ID,train
2406,What is chromatology ?,2,ID,test
2407,How many grooves are on a dime 's edge ?,5,ID,train
2408,How was the ACLU formed ?,2,ID,train
2409,What are the most albums sold by one artist or band ?,1,ID,test
2410,The second most popular sport worldwide is what ?,1,ID,validation
2411,What do goldfish lose if kept in dimly-lit or running water ?,1,ID,test
2412,What American won the world Grand Prix driving championship in 1978 ?,3,ID,test
2413,What are the chances of pregnacy if the penis does not penetrate the vagina ?,5,ID,train
2414,What 's the highest hand in straight poker ?,1,ID,train
2415,What is the name of Kevin Costner 's movie about Sioux Indians ?,1,ID,train
2416,"What are Kythnos , Siphnos , Seriphos and Mykonos ?",2,ID,test
2417,Name a female figure skater .,3,ID,test
2418,Why are there no white lines on pro footballs ?,2,ID,test
2419,How long would it take for a $ savings bond to mature ?,5,ID,train
2420,How is Abigail Arcane related to the villainous opponent of the Swamp Thing ?,2,ID,train
2421,What did the Congress of Vienna establish ?,1,ID,train
2422,What is the average cost for four years of medical school ?,5,ID,train
2423,What harmful chemicals are in bug spray ?,1,ID,test
2424,How many spears are there on Kenya 's flag ?,5,ID,train
2425,What did Mighty Mouse always sing as he went into action ?,2,ID,train
2426,How did Bob Marley die ?,2,ID,train
2427,What 's men 's par on a 455-yard golf hole ?,5,ID,train
2428,What percentage of American men are alcoholic ?,5,ID,train
2429,"Dialing , 900 , 740-TREE to have a tree planted will cost how much ?",5,ID,train
2430,"In South Korea , how many American Soldiers are there ?",5,ID,test
2431,Who portrayed Carl Bernstein in All the President 's Men ?,3,ID,train
2432,What are the numbers that fit into Fermont 's last theorem ?,5,ID,train
2433,Who was Tiny Tim 's father ?,3,ID,train
2434,What does a heliologist study ?,1,ID,validation
2435,Who was Bonnie Blue Butler 's father ?,3,ID,train
2436,"What shampoo prevents eczema , seborrhea , and psoriasis ?",1,ID,test
2437,How many Americans have HIV ?,5,ID,test
2438,Who is the Antichrist ?,3,ID,test
2439,What was the first English play written exclusively for children ?,1,ID,train
2440,How many teats does a female goat sport ?,5,ID,validation
2441,How tall is kilamanjaro ?,5,ID,validation
2442,Who was the lawyer who represented Randy Steven Craft ?,3,ID,train
2443,What did the crocodile swallow in Peter Pan ?,1,ID,train
2444,What is the origin of the word `` mushroom '' ?,2,ID,test
2445,Which of the following celebrities was not born in Philadelphia ?,3,ID,validation
2446,What is the number of American soldiers deployed to South Korea ?,5,ID,train
2447,What is the brand name of the chemical daminozide ?,1,ID,train
2448,How do microwaves work ?,2,ID,test
2449,What magazine paid Ernest Hemingway $15 a word to write a bullfighting article ?,1,ID,test
2450,What is the estimated total U.S. whitetail deer population ?,5,ID,test
2451,Who wrote the Farmer 's Almanac ?,3,ID,train
2452,"What animal received royal assent as an emblem of Canada on March 24 , 1975 ?",1,ID,train
2453,What number is at 12 o 'clock on a dartboard ?,5,ID,train
2454,Which team won the Super Bowl in 1968 ?,3,ID,train
2455,What is the recommended daily requirement for folic acid for pregnant women ?,2,ID,train
2456,What film dramatized the Scopes monkey trial ?,1,ID,train
2457,CNN is owned by whom ?,3,ID,train
2458,What is the HIGHEST Roman numeral ?,2,ID,test
2459,"What TV series saw many of its aquatic scenes shot at Silver Springs , Florida ?",1,ID,train
2460,Who was the 15th century fire-and-brimstone monk who gained control of Florence but ended burnt at the stake ?,3,ID,train
2461,How is digital audio used ?,2,ID,train
2462,Who was Quetzalcoatl ?,3,ID,train
2463,What operating system do IBM-compatible machines use ?,1,ID,train
2464,What French leader sold Louisiana to the United States ?,3,ID,train
2465,How many miles of veins are in the circulatory system ?,5,ID,test
2466,How is bubble wrap made ?,2,ID,train
2467,What is Java ?,2,ID,train
2468,Who is the prime minister of Japan ?,3,ID,train
2469,What player squats an average of 3 times during a baseball doubleheader ?,3,ID,test
2470,What 's the most common name in nursery rhymes ?,3,ID,train
2471,How many `` No '' answers was the What 's My Line ? panel allowed ?,5,ID,validation
2472,What is the fine for having a dog on a beach ?,5,ID,train
2473,"Who wrote the book , `` Song of Solomon '' ?",3,ID,train
2474,Name the Ranger who was always after Yogi Bear .,3,ID,train
2475,What TV show did John Sebastian sing the theme for ?,1,ID,test
2476,Who is the president of the Spanish government ?,3,ID,train
2477,Who holds the career record for the most major league home runs ?,3,ID,test
2478,Which of the following actors worked in New York 's Yiddish Theater ?,3,ID,validation
2479,Who invented the stethoscope ?,3,ID,train
2480,What is a mathematical factor ?,2,ID,train
2481,How many four star generals were there and who are they ?,5,ID,test
2482,When did Nixon die ?,5,ID,test
2483,What was originally defined as one 1-millionth of the distance from the equator to the Pole ?,1,ID,train
2484,What comedian hit the TV screen in 1951 with the NBC afternoon show Time for Ernie ?,3,ID,train
2485,How many members are in the California congressional delegation ?,5,ID,train
2486,What are Arnold Palmer 's fans called ?,3,ID,train
2487,Who retired with 755 home runs to his credit ?,3,ID,test
2488,Who developed potlatch ?,3,ID,test
2489,How long did Shea and Gould practice law in Los Angeles ?,5,ID,train
2490,What 's a perfect score in a gymnastics exercise ?,5,ID,test
2491,"What group included Abbey Hoffman , Jerry Rubin , and Tom Hayden ?",3,ID,train
2492,What made Jane Goodall famous ?,2,ID,test
2493,At what age did Rossini stop writing opera ?,5,ID,train
2494,Name the two actress daughters of John Mills .,3,ID,train
2495,How old was Gene Siskel ?,5,ID,train
2496,What can be done about snoring ?,2,ID,validation
2497,Who is the actress Bette Davis once said she wished she looked like ?,3,ID,validation
2498,Who portrayed The Cowardly Lion in The Wizard of Oz ?,3,ID,test
2499,What does a chiropodist treat ?,1,ID,validation
2500,What is porphyria ?,2,ID,train
2501,Who was the first king of England ?,3,ID,train
2502,What made the Finger Lakes in western New York state ?,2,ID,train
2503,In what movie is the number nine found in the title ?,1,ID,train
2504,How many calories are there in soy sauce ?,5,ID,train
2505,Who killed Kurt Cobain ?,3,ID,train
2506,Who created the monster in Mary Shelley 's novel Frankenstein ?,3,ID,train
2507,Why does the sun shine only a short time in Alaska ?,2,ID,train
2508,What chemical in red wine is good for the heart and what exactly does it do to your body ?,1,ID,train
2509,How does blood clot ?,2,ID,validation
2510,How big is our galaxy in diameter ?,5,ID,test
2511,"What product `` doubles your pleasure , doubles your fun '' ?",1,ID,test
2512,When is a woman most fertile ?,5,ID,test
2513,What son of a 15-year-old Mexican girl and a half-Irish father became the world 's most famous Greek ?,3,ID,test
2514,Who was the first man to return to space ?,3,ID,train
2515,What brand of jeans did Calvin Klein admit in a 1984 interview he felt more comfortable wearing ?,1,ID,train
2516,Who gave Abbie Hoffman his first dose of LSD ?,3,ID,train
2517,What effect does friction have on perpetual motion ?,2,ID,train
2518,What did the Seven Dwarfs do for a living ?,3,ID,train
2519,What 4-foot-9 actress in 1984 became the first performer to win an Oscar for playing a character of the opposite sex ?,3,ID,train
2520,Who shot Billy the Kid ?,3,ID,train
2521,What is he doing now ?,2,ID,test
2522,What Mormon leader was said to have had 27 wives ?,3,ID,validation
2523,What video format was an alternative to VHS ?,1,ID,train
2524,Where did the term `` 69 '' come from ?,2,ID,test
2525,What is money made of ?,1,ID,train
2526,How many people in Tucson ?,5,ID,test
2527,With whom did Bush compare Saddam Hussein ?,3,ID,train
2528,"What is the recommended weight of a 15 year-old male that is 5 , 6 ?",5,ID,train
2529,What pillar of the Dutch Renaissance painted Aristotle Contemplating the Bust of Homer ?,3,ID,test
2530,What is the name of the brilliant British economist behind its creation ?,3,ID,test
2531,Who played Sally Rogers on The Dick Van Dyke Show ?,3,ID,train
2532,What is it like to experience a near death episode ?,2,ID,test
2533,What mythical figure carries an hourglass and a scythe ?,3,ID,train
2534,How much is a Canadian 1967 twenty dollar gold coin worth ?,5,ID,test
2535,Why didn 't European colonial rule spread until after the first and second industrial revolutions ?,2,ID,test
2536,What presidential administration challenged Americans to explore The New Frontier ?,3,ID,train
2537,How many years did Sleeping Beauty sleep ?,5,ID,train
2538,How long does it take for your body to restore blood after you donate your blood ?,5,ID,train
2539,How do I know someone is truly in love with me ?,2,ID,train
2540,Which of many numbered vats of Scotch was judged best by a panel of experts in 1863 ?,1,ID,train
2541,What is literary criticism ?,2,ID,train
2542,How do you throw a housewarming party ?,2,ID,train
2543,What international sport was originally called hurley ?,1,ID,train
2544,What famous British actor lost his voice after an operation in 1966 ?,3,ID,train
2545,What does the term 3 mean to a newspaper editor ?,2,ID,train
2546,What company makes impulse hardening equipment ?,3,ID,train
2547,What does Freddy Freeman say to become Captain Marvel Jr. ?,2,ID,train
2548,What is Rona Barrett 's married name ?,3,ID,train
2549,How many years make up a lustrum ?,5,ID,train
2550,What are close encounters of the first and second kind ?,1,ID,validation
2551,Who is the mathematician that won the Noble Prize for Literature in 1950 ?,3,ID,test
2552,Which glamorous actress is a close friend of Dick Tracy ?,3,ID,train
2553,What 1956 Grace Metalious novel was on the best-seller list for two years ?,1,ID,train
2554,Name the three races unleashed by the Celestials in Marvel comics .,3,ID,train
2555,How old is the Italian artist Maurizio Pellegrin ?,5,ID,train
2556,"What President hit the jogging paths to enhance his athletic image and , sporting No. 39 , almost collapsed during the road race ?",3,ID,train
2557,What is the distinction of Erle Stanley Gardner 's The Case of the Terrified Typist ?,2,ID,train
2558,When was the NFL established ?,5,ID,train
2559,What writer-journalist made his mark describing colorful Broadway and underworld characters ?,3,ID,train
2560,What are the residents of the island of Lesbos called ?,3,ID,train
2561,What is the organizational structure of the New Delhi Indira Gandhi airport ?,1,ID,train
2562,"At Christmas time , what is the traditional thing to do under the mistletoe ?",1,ID,train
2563,What baseball great plugged Mr. Coffee ?,3,ID,train
2564,What international amateur sports spectacle was first telecast in 1956 ?,1,ID,train
2565,What is the origin of the word `` amen '' ?,2,ID,train
2566,Who 's baby was Sweet Pea on the Popeye cartoon ?,3,ID,train
2567,"What were Baffin , Frobisher and Franklin looking for ?",1,ID,train
2568,What is limbo ?,2,ID,train
2569,What interesting method was used to run the credits in the early Popeye cartoons ?,1,ID,train
2570,What are the stars made of ?,1,ID,train
2571,"What English physician was born on January 18 , 1779 and went on to create two important inventions ?",3,ID,train
2572,"Who did Arthur H. Bremer try to assassinate on May 15 , 1972 ?",3,ID,validation
2573,How fast must a spacecraft travel to escape Earth 's gravity ?,5,ID,train
2574,What apostle is Taylor Caldwell 's Great Lion of God ?,3,ID,train
2575,How many rings are there on a five-zone archery target ?,5,ID,train
2576,"What anesthetic did Queen Victoria allow to be used for the birth of her seventh child , in 1853 ?",1,ID,test
2577,"What element , from the Periodic Table , is a gas or a solid , but never a liquid ?",1,ID,train
2578,What is a tonne ?,2,ID,train
2579,What company sells the most greeting cards ?,3,ID,test
2580,What is the Bernoulli Principle ?,2,ID,train
2581,What 's comic strip photographer Peter Parker 's secret identity ?,3,ID,train
2582,What is difference between a poster and a print ?,2,ID,train
2583,In which sport is there a `` scrum '' ?,1,ID,train
2584,What are the best ways to improve employee morale at low cost ?,1,ID,train
2585,What is false consciousness ?,2,ID,train
2586,How did the Great Depression affect Japan 's history ?,2,ID,validation
2587,Which side should a bowler facing a 37803 split hit the 3-pin on-the left or the right ?,1,ID,train
2588,How many Israeli athletes were killed at the Munich Olympics ?,5,ID,train
2589,What is the Scotch `` for people who know the difference '' ?,1,ID,validation
2590,When was Richard Nixon born ?,5,ID,train
2591,What is the recomended age to switch a child from a crib to a bed ?,5,ID,train
2592,Which Rockefeller was sometimes called `` JDR3 '' ?,3,ID,test
2593,When is the Sun closest to the Earth ?,5,ID,train
2594,What are some chemical properties of mendelevium ?,2,ID,train
2595,What is the average hours per months spent online by AOL users ?,5,ID,validation
2596,Whom did Friz Freleng add to the Warner Bros. cartoon ranks ?,3,ID,train
2597,What is the origin of the word `` sideburns '' ?,2,ID,train
2598,The trials resulting from World War II are known as what ?,1,ID,train
2599,What started in 1849 when gold was discovered at Sutter 's Mill ?,1,ID,test
2600,What is a First World country ?,2,ID,train
2601,Who was Shakespeare 's Moorish general ?,3,ID,train
2602,How does salt melt ice and snow ?,2,ID,train
2603,What does laser stand for ?,2,ID,train
2604,Who taught Matt Murdock to use his extraordinary abilities in Marvel comics ?,3,ID,train
2605,How far away is the moon ?,5,ID,train
2606,What famous film and TV cowboy lent his name to a fast food chain ?,3,ID,train
2607,What is mandibulofacial dysostosis ?,2,ID,train
2608,What was the reason for the partition of the Anglican and Vatican churches ?,2,ID,train
2609,What is Butterfield 8 in Butterfield 8 ?,2,ID,test
2610,Who famously rode to warn the people of Massachusetts that the British were coming ?,3,ID,train
2611,"Name a movie that the actress , Sandra Bullock , had a role in .",1,ID,train
2612,"What blew up at Lakehurst , New Jersey , on May 6 , 1977 ?",1,ID,validation
2613,Who commanded the French forces at the Battle of Orleans ?,3,ID,train
2614,What ill-fated craft was captained by Ernst Lehmann ?,1,ID,train
2615,When did Amtrak begin operations ?,5,ID,train
2616,How many bones are in the human hand ?,5,ID,train
2617,How many chemical elements are there ?,5,ID,train
2618,Who led the opposition when Konrad Adenauer was Chancellor in Germany ?,3,ID,train
2619,"What is the current population for these countries : France , Spain , Italy , Greece , Austria , Germany , Switzerland , the Netherlands ?",5,ID,train
2620,What is the youngest age a boy or girl can have an orgasm ?,5,ID,train
2621,What color is the lipstick on Boy George 's wax lips at London 's Madame Tussaud 's ?,1,ID,train
2622,What is the origin of the candy cane at Christmas ?,2,ID,train
2623,What is the brand name of a chemical used to control ripening ?,1,ID,train
2624,What terror of the sea did Johnny Horton sing about ?,1,ID,validation
2625,Who turned all he touched to gold ?,3,ID,test
2626,What is the medical term for cancer of the blood ?,1,ID,train
2627,Who plays shortstop for Charlie Brown 's baseball team ?,3,ID,test
2628,Who was the most famous food editor of The New York Times ?,3,ID,train
2629,How many dogs pull a sled in the Iditarod ?,5,ID,train
2630,What 's a male witch called ?,1,ID,validation
2631,How long does cocaine stay in your system ?,5,ID,validation
2632,Who was the last U.S. president to reinstate Selective Service registration ?,3,ID,validation
2633,"On which dates does the running of the bulls occur in Pamplona , Spain ?",5,ID,validation
2634,What was the name of the lawyer who represented Randy Steven Craft ?,3,ID,train
2635,What happens to used motor oil ?,2,ID,test
2636,What is the most commonly used 1 letter word in the English language ?,1,ID,train
2637,What actress 's autobiography is titled Shelley : Also Known as Shirley ?,3,ID,train
2638,How many colors was the 1940s collectible called a Donald Duck Rubber Boat ?,5,ID,train
2639,How did the 7th inning stretch get started ?,2,ID,train
2640,Who lived on the shores of the Gitchee Gumee River ?,3,ID,train
2641,What did Tristan come back as ?,1,ID,test
2642,What colors make up a rainbow ?,1,ID,train
2643,What war did Johnny Reb and Billy Yank fight ?,1,ID,train
2644,Who is section manager for guidance and control systems at JPL ?,3,ID,train
2645,What is Goldfinger 's first name ?,3,ID,train
2646,Which of the following famous people does not paint as a hobby ?,3,ID,train
2647,How many pitchers occupy the shelf beside the crouching woman in Edgar Degas 's 1886 painting The Tub ?,5,ID,train
2648,What is the cost of the drugs used in tuberculosis treatments ?,5,ID,train
2649,What famed gangland slaughter cut into the membership of Bugs Moran 's outfit ?,1,ID,train
2650,Ray Charles is best known for playing what instrument ?,1,ID,train
2651,"What was Nine Tailors , the television show from 1974 , about ?",2,ID,train
2652,How does the Elongated Man know a mystery is afoot ?,2,ID,train
2653,What food of the three bears did Goldilocks eat ?,1,ID,train
2654,What is Boston Kreme ?,2,ID,train
2655,Who should I call to get a tour of the New York Stock Exchange ?,3,ID,train
2656,How many airline schools are there in the U.S. ?,5,ID,train
2657,"What U.S. general died December 1 , 1945 , when his jeep collided with a truck ?",3,ID,train
2658,What is a swatch ?,2,ID,train
2659,What does Ouija mean ?,2,ID,train
2660,How many major Nazi leaders went on trial after the war at Nuremberg ?,5,ID,test
2661,What kind of fish is a coney ?,1,ID,test
2662,What was the name of the director of the movie `` Jaws '' ?,3,ID,train
2663,What steps can be taken to prevent diabetes ?,2,ID,train
2664,What were the first words spoken on a film sound track ?,2,ID,train
2665,What year is etched on the Gold Medal of Excellence from the Paris Exposition depicted on a can of Campbell 's tomato soup ?,5,ID,train
2666,What film was Jude Law in ?,1,ID,train
2667,Who portrayed W.C. Fields in the film W.C. Fields and Me ?,3,ID,train
2668,What were the ceremony traditions like during the Elizabethian times ?,1,ID,train
2669,Which college did Dikembe Mutombo play basketball at ?,3,ID,train
2670,What is a fear of going to bed ?,1,ID,train
2671,Where did the saying `` rule of thumb '' come from ?,2,ID,train
2672,Why does sound travel quicker through water than air ?,2,ID,validation
2673,How much money does the Sultan of Brunei have ?,5,ID,train
2674,What month 's third weekend is the Monterey Jazz Festival held on ?,5,ID,validation
2675,What is the `` Global Economy '' ?,2,ID,train
2676,Who built the first successful stern wheel steamboat ?,3,ID,train
2677,What is a caul ?,2,ID,train
2678,Who was Hitler 's minister of propaganda ?,3,ID,train
2679,Who was the first doctor to successfully transplant a liver ?,3,ID,validation
2680,What does the theory of quantum leaps mean in simpler terms ?,2,ID,test
2681,What is a bone marrow transplant ?,2,ID,train
2682,What is the difference between a classical and an acoustic guitar ?,2,ID,test
2683,What is the name of a language spoken by the Sioux ?,1,ID,train
2684,What does an edentulous smile lack ?,1,ID,validation
2685,What is a fear of jealousy ?,1,ID,train
2686,What is the largest sculpture in the world ?,1,ID,test
2687,When was John D. Rockefeller born ?,5,ID,train
2688,What is home banking ?,2,ID,train
2689,What William Makepeace Thackeray novel was made into a film by Stanley Kubrick ?,1,ID,train
2690,Who was the lawyer for Randy Steven Craft ?,3,ID,train
2691,How do hermit crabs reproduce ?,2,ID,train
2692,Who is reputed to be the greatest maker of violins ?,3,ID,train
2693,How do you stop junk snail mail ?,2,ID,test
2694,What future Soviet dictator was training to be a priest when he got turned on to Marxism ?,3,ID,train
2695,How long does James Bond like his eggs boiled ?,5,ID,train
2696,What 's the common name for a Japanese dwarf tree ?,1,ID,train
2697,What did Thomas Paine write ?,1,ID,train
2698,Who sued the Dannon yougurt company for using a character named Ron Raider for promotion ?,3,ID,train
2699,Who was the first jockey to ride two Triple Crown winners ?,3,ID,train
2700,What Lewis Carroll book introduced Humpty Dumpty to the world ?,1,ID,train
2701,Who wrote Brave New World ?,3,ID,train
2702,What is hydroelectricity ?,2,ID,train
2703,How many people are taller than 7 feet ?,5,ID,train
2704,Who wrote Unsafe at Any Speed ?,3,ID,test
2705,How many islands make up Antigua ?,5,ID,train
2706,How does an abacus work ?,2,ID,train
2707,What causes rust ?,2,ID,train
2708,What is the fear of the computer called ?,1,ID,train
2709,What is a technique popularly used to detect birth defects ?,1,ID,test
2710,What British commander surrendered to George Washington at Yorktown in 1781 ?,3,ID,train
2711,"What according to the Kinsey Institute , is the sexual preference of four percent of American males ?",2,ID,train
2712,"Who created the World Wide Web , WWW ?",3,ID,train
2713,What is the procedure called for drilling a hole in your skull to acheive a higher consciousness ?,1,ID,train
2714,What is the name of the president of Garmat U.S.A ?,3,ID,train
2715,"What was the name of the television show , starring Karl Madsen , that had San Francisco in the title ?",1,ID,train
2716,Who were leaders of the Byzantine empire ?,3,ID,test
2717,Who was the first President to appoint a woman to head a cabinet ?,3,ID,validation
2718,What is splatterpunk ?,2,ID,train
2719,What is the orgin of xoxoxox ?,2,ID,train
2720,Who built the first pyramid ?,3,ID,train
2721,What color tennis balls are used at Wimbledon ?,1,ID,train
2722,What is a 2-sided object called ?,1,ID,validation
2723,Name a French fascist party .,3,ID,train
2724,Name the French historical period during the reign of Napoleon III .,1,ID,test
2725,What movie has made the most money ?,1,ID,train
2726,What is time ?,2,ID,train
2727,How many states have a lottery ?,5,ID,test
2728,What are you caught in if a haboob blows up ?,1,ID,train
2729,What ratio of children of ages between two and eleven watch ` The Simpsons ' ?,5,ID,train
2730,How many cities are there in Utah ?,5,ID,train
2731,What famous meat company went out of business because it became known that the underworld had been selling them kangaroo meat ?,3,ID,validation
2732,How many visitors go to the Vatican each year ?,5,ID,train
2733,What is the population of Mexico ?,5,ID,train
2734,How do you get silly putty out of fabric ?,2,ID,train
2735,Why is the word `` abbreviation '' so long ?,2,ID,train
2736,What century did art 's Romantic Period begin in ?,5,ID,test
2737,How many spaces follow a period at the end of a sentence ?,5,ID,train
2738,What is a cake of soap ?,2,ID,train
2739,In what year was the Berlin Wall erected ?,5,ID,train
2740,What is the weight of a teaspoon of matter in a black hole ?,5,ID,train
2741,What is the approximate weight of a teaspoon of matter in a black hole ?,5,ID,train
2742,How far is Yaroslavl from Moscow ?,5,ID,validation
2743,What is April 's gemstone ?,1,ID,train
2744,What is the present Pope named ?,3,ID,test
2745,Who is the nebbish that is Marvel 's official mascot ?,3,ID,train
2746,What powdered soft drink mix went into space ?,1,ID,test
2747,What did the Chinese emperor present to the English soldier Gordon in recognition of his services in quelling rebellions ?,1,ID,train
